text,disease
I have fever,Shingles
"I have sudden intense terror, pounding racing heart, feeling of choking",Panic Disorder
"Patient reports fever, stiff neck and swollen lymph nodes with increasing discomfort.",Lyme Disease
"Patient presenting with mild fever, body aches, dehydration",Gastroenteritis
Experiencing acute fatigue and nausea.,Hepatitis B
Experiencing chest tightness,COPD
"Doctor, I've had sudden facial drooping and vision loss for the past few days.",Stroke
"Doctor, I've had shortness of breath with exertion, excess sputum, fatigue",COPD
"Patient presenting with persistent excessive worry, difficulty concentrating, sleep disturbance",Generalized Anxiety Disorder
I've been dealing with difficulty concentrating and sleep disturbance and it is getting worse.,Generalized Anxiety Disorder
"I cannot sleep because of slight fatigue, pale appearance and microcytic red blood cells on lab work.",Thalassemia Minor
"Doctor, I've had fever, loss of appetite, red spots on skin",Chickenpox
"My main issues right now are dizziness when rolling over in bed, loss of balance and nausea with head movement.",Benign Paroxysmal Positional Vertigo
"My main issues right now are numbness in limbs, tremor, fatigue and unsteady gait.",Multiple Sclerosis
Experiencing elevated liver enzymes,Fatty Liver Disease
Experiencing chills,Influenza
I have pitted thickened nails,Psoriasis
"Doctor, I've had severe acne, thinning hair on scalp and ovarian cysts for the past few days.",Polycystic Ovary Syndrome
"I have sharp stabbing facial pain, pain triggered by chewing or brushing teeth, spontaneous facial spasms",Trigeminal Neuralgia
"I feel terrible with tingling around bite site, fever, anxiety and agitation.",Rabies Exposure
Clinical notes: Patient presenting with frequent urination and extreme hunger.,Diabetes Type 1
I'm experiencing extreme sensitivity to touch and muscle weakness.,Peripheral Neuropathy
"Suffering from difficulty falling asleep, waking up during the night, waking up too early and difficulty concentrating, need medical guidance.",Insomnia Disorder
"Suffering from sudden one-sided facial paralysis, drooping mouth, inability to close one eye and loss of taste, need medical guidance.",Bell's Palsy
"Noticed severe bullseye skin rash, chills, body aches",Lyme Disease
Feeling pain triggered by chewing or brushing teeth,Trigeminal Neuralgia
"Noticed severe intense fear of social interactions, fear of being judged or embarrassed, avoidance of social situations",Social Anxiety Disorder
"I have dry cracked skin patches and small raised bumps, what could this be?",Eczema
"I cannot sleep because of rapid dehydration, sunken eyes and low blood pressure.",Cholera
"Noticed severe sudden facial drooping, sudden severe headache, loss of balance",Stroke
I have cloudy or blurry vision,Cataract
"Suffering from yellowing of skin and eyes, dark urine, nausea",Hepatitis B
"Been having sharp lower right abdominal pain, loss of appetite, rebound tenderness",Appendicitis
"Suffering from extreme fatigue, severe sore throat and enlarged spleen, need medical guidance.",Mononucleosis
"Noticed severe temporary numbness on one side, transient vision loss, arm weakness",Transient Ischemic Attack (TIA)
Feeling fever,Chickenpox
Experiencing pain when bladder fills,Interstitial Cystitis
"My main issues right now are increased thirst, tingling in hands and feet and fatigue.",Diabetes Type 2
Feeling loss of appetite,Gastritis
I have bloating,Celiac Disease
"Doctor, I've had weight loss and fatigue for the past few days.",Crohn's Disease
"Suffering from burning stomach pain between meals, feeling full too quickly, dark stools",Peptic Ulcer
I have loss of appetite,Hepatitis C
"Doctor, I've had chest burning and sour taste in mouth for the past few days.",GERD
"Been having coldness in lower leg or foot, weak pulse in legs, slow-healing sores on toes",Peripheral Artery Disease
"Suffering from rapid heart rate, heat intolerance and sweating, need medical guidance.",Hyperthyroidism
Experiencing corkscrew body hair,Scurvy
I'm experiencing nausea and dizziness.,Addison's Disease
Experiencing alternating diarrhea and constipation,Irritable Bowel Syndrome
"Patient reports muscle weakness, frequent infections and hair loss with increasing discomfort.",Vitamin D Deficiency
"I've been dealing with abrupt high fever, rash, muscle pain and headache and it is getting worse.",Chikungunya
I have persistent fatigue,Chronic Kidney Disease
"Doctor, I've had joint pain during or after movement, grating sensation, bone spurs",Osteoarthritis
"I'm experiencing increased thirst, slow-healing cuts, fatigue and darkened skin patches.",Diabetes Type 2
"I'm experiencing muscle cramps and spasms, confusion and extreme fatigue.",Electrolyte Imbalance
I have shortness of breath when lying flat,Heart Failure
"My main issues right now are high fever, body ache, headache and sore throat.",Influenza
I have abdominal cramping,Irritable Bowel Syndrome
Feeling resting tremor,Parkinson's Disease
"I feel terrible with nausea, vomiting and fever.",Pancreatitis
"It started yesterday with feeling full too quickly, bloating, nausea and dark stools.",Peptic Ulcer
"My main issues right now are red swollen tender skin area, skin warm to touch, rapidly expanding redness and fever.",Cellulitis
My main issues right now are body ache and sore throat.,Influenza
"Suffering from low blood pressure and dizziness, need medical guidance.",Addison's Disease
"Doctor, I've had reduced personal accomplishment, chronic physical fatigue and digestive upset for the past few days.",Chronic Stress / Burnout
I feel terrible with persistent diarrhea and weight loss.,Crohn's Disease
"I have constant severe lower left abdominal pain and bloating, what could this be?",Diverticulitis
"Noticed severe heat intolerance, anxiety, bulging eyes",Hyperthyroidism
"Woke up today with persistent cough for more than 3 weeks, coughing blood, unexplained weight loss and chest pain.",Tuberculosis
"Suffering from eye redness, tearing, restlessness",Cluster Headache
"Been having chronic diarrhea, bloating, gas",Celiac Disease
"I have coldness in lower leg or foot and slow-healing sores on toes, what could this be?",Peripheral Artery Disease
"Suffering from pink or cola-colored urine, foamy urine, swollen ankles",Glomerulonephritis
It started yesterday with joint and muscle aches and slow wound healing.,Scurvy
Woke up today with fatigue and rectal bleeding.,Crohn's Disease
"Experiencing acute headache, rose-colored rash and extreme fatigue.",Typhoid Fever
"Experiencing acute rapid heart rate, trembling hands and anxiety.",Hyperthyroidism
"Suffering from low blood pressure, salt cravings, dizziness",Addison's Disease
"Lately I have been feeling shivering chills, profuse sweating, body ache and fatigue.",Malaria
"Patient reports irregular periods, severe acne, thinning hair on scalp and weight gain with increasing discomfort.",Polycystic Ovary Syndrome
I cannot sleep because of sneezing and mild cough.,Common Cold
I'm experiencing muscle weakness and hair loss.,Vitamin D Deficiency
"Feeling painful swallowing, enlarged tender neck nodes, bad breath",Tonsillitis
"Been having easy or excessive bruising, petechiae (superficial pinpoint purple spots on skin), prolonged bleeding from small cuts",Thrombocytopenia
"I cannot sleep because of burning sensation in eyes, stinging eyes and blurred vision after reading.",Dry Eye Syndrome
"I have high blood pressure, high fasting blood glucose, low HDL cholesterol",Metabolic Syndrome
Experiencing fatigue,Pneumonia
Experiencing skin rash,Celiac Disease
"Experiencing excruciating pain around one eye, eye redness, restlessness",Cluster Headache
"Suffering from severe upper abdominal pain radiating to back and vomiting, need medical guidance.",Pancreatitis
"Experiencing sudden facial drooping, slurred speech, loss of balance",Stroke
I'm experiencing high blood pressure and low HDL cholesterol.,Metabolic Syndrome
"Suffering from severe itching, dry cracked scaly skin, burning sensation",Contact Dermatitis
Experiencing hard dry stools,Constipation
Experiencing joint pain during or after movement,Osteoarthritis
"It started yesterday with joint pain during or after movement, loss of joint flexibility and bone spurs.",Osteoarthritis
"I have high fever, cough with phlegm, fatigue",Pneumonia
I have nausea,Peptic Ulcer
"My main issues right now are impaired balance, soft voice and shuffling gait.",Parkinson's Disease
"Feeling visual flashes, blind spots, throbbing head pain",Migraine with Aura
Feeling slow-healing sores on toes,Peripheral Artery Disease
Feeling chronic diarrhea,Celiac Disease
Clinical notes: Patient presenting with shivering chills and vomiting.,Pyelonephritis
"Clinical notes: Patient presenting with constant severe lower left abdominal pain, fever and constipation.",Diverticulitis
"Suffering from burning stomach pain between meals, bloating, dark stools and unexplained weight loss, need medical guidance.",Peptic Ulcer
Feeling abdominal tenderness,Diverticulitis
"Over the last 48 hours, I noticed gas and skin rash.",Celiac Disease
"I feel terrible with fluttering in chest, racing heartbeat and dizziness.",Arrhythmia
Feeling facial puffiness in mornings,Glomerulonephritis
I have chronic pelvic pain,Interstitial Cystitis
"I'm experiencing bullseye skin rash, fever and chills.",Lyme Disease
"Been having persistent sad empty mood, fatigue, changes in appetite or weight",Major Depressive Disorder
Lately I have been feeling chronic lower back pain and stiffness and pain worse in mornings and improves with exercise.,Ankylosing Spondylitis
"Clinical notes: Patient presenting with chronic pelvic pain, persistent urgent need to urinate, pain when bladder fills and pain during intercourse.",Interstitial Cystitis
"Suffering from unexplained weight gain, constipation and brittle hair, need medical guidance.",Hypothyroidism
"My main issues right now are bloating, dark stools and unexplained weight loss.",Peptic Ulcer
Clinical notes: Patient presenting with tingling in hands and feet and pale or jaundiced skin.,Vitamin B12 Deficiency
"I have electric shock sensations and fatigue, what could this be?",Multiple Sclerosis
"I feel terrible with runny nose, nasal congestion and mild headache.",Common Cold
"Doctor, I've had sudden one-sided facial paralysis, drooling and loss of taste for the past few days.",Bell's Palsy
"I feel terrible with acid regurgitation, chest burning and sour taste in mouth.",GERD
"Suffering from pain radiating to right shoulder and nausea, need medical guidance.",Gallstones
"I cannot sleep because of rapid heart rate, unintended weight loss, anxiety and bulging eyes.",Hyperthyroidism
"Been having burning localized pain, fever, itching",Shingles
"Lately I have been feeling itchy fluid-filled blisters, tiredness and red spots on skin.",Chickenpox
"Feeling red rash localized to area of contact, severe itching, dry cracked scaly skin",Contact Dermatitis
"Been having joint stiffness in mornings, loss of joint flexibility, bone spurs",Osteoarthritis
"Experiencing acute chest pressure on exertion, shortness of breath, fatigue and pain radiating to jaw or left arm.",Coronary Artery Disease
"Doctor, I've had chronic fatigue, mild upper right abdominal discomfort and jaundice for the past few days.",Hepatitis C
"Doctor, I've had electric shock sensations, vision loss in one eye, fatigue",Multiple Sclerosis
"Clinical notes: Patient presenting with sudden shortness of breath, sharp chest pain on breathing, rapid heart rate and coughing blood.",Pulmonary Embolism
I feel terrible with crushing chest pain and pain radiating to left arm neck or jaw.,Heart Attack
"Feeling neck pain and stiffness, headache starting at back of neck, grinding noise when turning neck",Cervical Spondylosis
"Clinical notes: Patient presenting with swelling in ankles and feet, persistent fatigue, nausea and loss of appetite.",Chronic Kidney Disease
"My main issues right now are extreme fatigue, pale skin and cold hands and feet.",Iron Deficiency Anemia
Feeling difficulty concentrating,Generalized Anxiety Disorder
"Suffering from tingling sensations, extreme sensitivity to touch and muscle weakness, need medical guidance.",Peripheral Neuropathy
"Suffering from round coin-sized smooth bald patches on scalp and exclamation point hairs, need medical guidance.",Alopecia Areata
I have thick nasal discharge,Sinusitis
"Suffering from brain fog, trembling, palpitations",Postural Orthostatic Tachycardia (POTS)
"Feeling high fever, cough with phlegm, chills",Pneumonia
"Patient reports feeling of incomplete evacuation, abdominal fullness and bloating with increasing discomfort.",Constipation
I have neck stiffness,Tension Headache
"Doctor, I've had burning sensation in eyes, stringy mucus in eyes, blurred vision after reading",Dry Eye Syndrome
"Been having sudden severe pain in upper right abdomen, pain radiating to right shoulder, vomiting",Gallstones
"Noticed severe dry skin, muscle weakness, brittle hair",Hypothyroidism
Experiencing electric shock sensations,Multiple Sclerosis
I have dry cough,Influenza
"Been having shortness of breath, nosebleeds, blurred vision",Hypertension
It started yesterday with slow heartbeat and fainting episodes.,Arrhythmia
"Lately I have been feeling fever, fatigue, sore throat and body aches.",COVID-19
"Doctor, I've had vomiting, rapid dehydration, low blood pressure",Cholera
"Clinical notes: Patient presenting with chronic cough, wheezing, chest tightness and fatigue.",COPD
I have nausea,Hepatitis B
Feeling dry cracked scaly skin,Contact Dermatitis
Experiencing shivering chills,Pyelonephritis
Feeling fatigue,Scurvy
"Feeling extreme fatigue, fever, enlarged spleen",Mononucleosis
I have mild bleeding,Dengue Fever
"Clinical notes: Patient presenting with cyclical high fever, shivering chills, profuse sweating and fatigue.",Malaria
"It started yesterday with brain fog, trembling and extreme fatigue.",Postural Orthostatic Tachycardia (POTS)
"Clinical notes: Patient presenting with bloating, alternating diarrhea and constipation, mucus in stool and food intolerance.",Irritable Bowel Syndrome
"Experiencing tender warm swollen joints, symmetrical joint pain in both hands, morning joint stiffness lasting >1 hour",Rheumatoid Arthritis
"Doctor, I've had cramping leg pain when walking (claudication), coldness in lower leg or foot, weak pulse in legs",Peripheral Artery Disease
"It started yesterday with loss of taste or smell, fatigue, shortness of breath and body aches.",COVID-19
Feeling feeling of choking,Panic Disorder
My main issues right now are tingling in hands and feet and memory problems.,Vitamin B12 Deficiency
"Woke up today with high fever, cough with phlegm, chills and fatigue.",Pneumonia
"Woke up today with temporary numbness on one side, transient vision loss and temporary dizziness.",Transient Ischemic Attack (TIA)
I have persistent urgent need to urinate,Interstitial Cystitis
Woke up today with persistent fatigue and wheezing.,Heart Failure
"Patient reports sharp ear pain, fluid draining from ear and fever with increasing discomfort.",Otitis Media
Experiencing cough,Measles
I have constant severe lower left abdominal pain,Diverticulitis
"Over the last 48 hours, I noticed emotional exhaustion, cynicism and detachment, reduced personal accomplishment and chronic physical fatigue.",Chronic Stress / Burnout
"I've been dealing with round moon face, weight gain around abdomen, high blood pressure and muscle weakness and it is getting worse.",Cushing's Syndrome
"Patient reports swelling in one calf or leg, throbbing calf pain and warmth in affected leg with increasing discomfort.",Deep Vein Thrombosis
"It started yesterday with sudden shortness of breath, sharp chest pain on breathing and rapid heart rate.",Pulmonary Embolism
"I feel terrible with gasping for air during sleep, morning headache and dry mouth on waking.",Sleep Apnea
I have tunnel vision in advanced stages,Glaucoma
"I cannot sleep because of sharp ear pain, muffled hearing, fluid draining from ear and feeling of fullness in ear.",Otitis Media
Feeling burning pain in hands,Peripheral Neuropathy
"Patient reports gradual numbness in feet, tingling sensations and extreme sensitivity to touch with increasing discomfort.",Peripheral Neuropathy
Experiencing weight gain,Polycystic Ovary Syndrome
"I have slow-healing cuts, tingling in hands and feet, fatigue",Diabetes Type 2
I'm experiencing chills and fatigue.,Pneumonia
"Been having blind spots, tingling in face or hands, nausea",Migraine with Aura
"Suffering from chronic physical fatigue, frequent headaches and digestive upset, need medical guidance.",Chronic Stress / Burnout
"I have circular red itchy rash with raised edges and clear skin in center of ring, what could this be?",Fungal Skin Infection
Patient reports eye redness and nasal congestion on one side with increasing discomfort.,Cluster Headache
"My main issues right now are nausea, visual aura and dizziness.",Migraine
"I have severe sore throat, pain with swallowing, red swollen tonsils and swollen neck lymph nodes, what could this be?",Pharyngitis
"Patient presenting with prolonged bleeding from small cuts, bleeding gums, nosebleeds",Thrombocytopenia
"I have slow-healing cuts, tingling in hands and feet, fatigue and darkened skin patches, what could this be?",Diabetes Type 2
"My main issues right now are heartburn, chest burning, difficulty swallowing and chronic dry cough.",GERD
I have nausea,Gallstones
"Feeling irregular periods, excess facial hair, severe acne",Polycystic Ovary Syndrome
"Doctor, I've had watery diarrhea, stomach cramps and nausea for the past few days.",Gastroenteritis
"Doctor, I've had prolonged step-ladder fever, headache, constipation or diarrhea and extreme fatigue for the past few days.",Typhoid Fever
"It started yesterday with heat intolerance, anxiety and bulging eyes.",Hyperthyroidism
"Doctor, I've had fluttering in chest, racing heartbeat, fainting episodes",Arrhythmia
I have darkened skin patches,Diabetes Type 2
Feeling irregular heartbeat,Electrolyte Imbalance
"I feel terrible with sudden high fever, severe headache, joint and muscle ache and mild bleeding.",Dengue Fever
I cannot sleep because of low mood and hair loss.,Vitamin D Deficiency
"Over the last 48 hours, I noticed tearing and nasal congestion on one side.",Cluster Headache
Feeling weak pulse in legs,Peripheral Artery Disease
"Woke up today with swelling in ankles and feet, persistent fatigue and nausea.",Chronic Kidney Disease
"Patient reports sharp shooting pain from lower back down leg, numbness in leg or foot and pain worse when sitting with increasing discomfort.",Sciatica
"Doctor, I've had white or yellow coating on tonsils and enlarged tender neck nodes for the past few days.",Tonsillitis
"Experiencing acute dry mouth, infrequent urination and sunken eyes.",Dehydration
I have nausea,Migraine
"I cannot sleep because of itching around anus, pain during bowel movements and swelling or lump near anus.",Hemorrhoids
It started yesterday with bloody diarrhea and fever.,Ulcerative Colitis
"Doctor, I've had tender warm swollen joints, morning joint stiffness lasting >1 hour, fatigue",Rheumatoid Arthritis
"Patient reports animal bite on skin, tingling around bite site, headache and agitation with increasing discomfort.",Rabies Exposure
"I cannot sleep because of bloating, gas, mucus in stool and food intolerance.",Irritable Bowel Syndrome
"Been having facial redness across cheeks and nose, swollen red bumps resembling acne, eye irritation",Rosacea
"Been having extreme thirst, dizziness upon standing, infrequent urination",Dehydration
"I'm experiencing extreme thirst, dark yellow urine and infrequent urination.",Dehydration
"I have rapid heart rate, heat intolerance, sweating and bulging eyes, what could this be?",Hyperthyroidism
"Patient reports nausea, rapid pulse and tenderness to touch with increasing discomfort.",Pancreatitis
"Suffering from high fever, red watery eyes, blotchy skin rash",Measles
"My main issues right now are bleeding gums, corkscrew body hair, fatigue and slow wound healing.",Scurvy
"Patient presenting with acid regurgitation, chronic dry cough, sour taste in mouth",GERD
Feeling slow wound healing,Scurvy
"I'm experiencing sweating, rapid heartbeat, confusion and hunger.",Hypoglycemia
"Doctor, I've had nasal congestion and pressure around eyes for the past few days.",Sinusitis
I feel terrible with runny nose and mild headache.,Common Cold
Woke up today with cough with phlegm and fatigue.,Pneumonia
I have spontaneous facial spasms,Trigeminal Neuralgia
"Doctor, I've had cough with phlegm, shortness of breath, chills",Pneumonia
"Noticed severe dark urine, pale stools, yellowing of skin and eyes",Hepatitis A
Feeling mild fever,Gastroenteritis
"I cannot sleep because of fever, dry cough, loss of taste or smell and fatigue.",COVID-19
"I have muscle cramps and spasms, irregular heartbeat, confusion and dizziness, what could this be?",Electrolyte Imbalance
"I have cyclical high fever, body ache, fatigue",Malaria
"Doctor, I've had severe upper abdominal pain radiating to back, nausea and rapid pulse for the past few days.",Pancreatitis
"Suffering from persistent sad empty mood, loss of interest in hobbies, fatigue",Major Depressive Disorder
Feeling gas,Celiac Disease
My main issues right now are swelling that changes shape and location and intense itching.,Urticaria
I cannot sleep because of itching around anus and swelling or lump near anus.,Hemorrhoids
I have rapid breathing,Pneumonia
I have high triglycerides,Metabolic Syndrome
Feeling pale appearance,Thalassemia Minor
"Been having chest pressure on exertion, shortness of breath, lightheadedness",Coronary Artery Disease
Feeling headache,Sinusitis
"Experiencing acute muscle cramps, sunken eyes and low blood pressure.",Cholera
Experiencing fatigue,Major Depressive Disorder
"Doctor, I've had urgent need to defecate, cramping abdominal pain and weight loss for the past few days.",Ulcerative Colitis
"Been having feeling full too quickly, bloating, dark stools",Peptic Ulcer
"Feeling sharp lower right abdominal pain, vomiting, rebound tenderness",Appendicitis
I have hyperpigmentation (darkened skin),Addison's Disease
"Suffering from difficulty starting urination, dribbling after urination, urinary urgency",Benign Prostatic Hyperplasia
Experiencing pain during bowel movements,Hemorrhoids
Experiencing dizziness upon standing,Dehydration
"Lately I have been feeling coughing blood, night sweats, unexplained weight loss and fever.",Tuberculosis
"I have abrupt high fever, severe crippling joint pain and rash, what could this be?",Chikungunya
"My main issues right now are gradual loss of height over time, stooped posture and bone fractures easily.",Osteoporosis
My main issues right now are chest pain on deep inhalation and rapid shallow breathing.,Pleural Effusion
"Patient reports upper abdominal pain, burning stomach, bloating and belching with increasing discomfort.",Gastritis
"I have purple stretch marks, high blood pressure and muscle weakness, what could this be?",Cushing's Syndrome
"Experiencing sharp ear pain, fluid draining from ear, fever",Otitis Media
I'm experiencing poor appetite and yellowing of skin and eyes.,Hepatitis B
"Woke up today with slurred speech, sudden severe headache, loss of balance and vision loss.",Stroke
I feel terrible with white or yellow coating on tonsils and fever.,Tonsillitis
"Suffering from sudden severe pain in upper right abdomen, nausea, vomiting and indigestion after fatty meals, need medical guidance.",Gallstones
Feeling mild fever,Bronchitis
"Suffering from skin sensitivity, fever, itching",Shingles
"Woke up today with excruciating pain around one eye, eye redness, tearing and nasal congestion on one side.",Cluster Headache
"I have blind spots, tingling in face or hands, light sensitivity",Migraine with Aura
"Experiencing acute sharp lower right abdominal pain, vomiting, loss of appetite and rebound tenderness.",Appendicitis
"Suffering from arm weakness, slurred speech, sudden severe headache",Stroke
I have nausea,Addison's Disease
"I've been dealing with hyperpigmentation (darkened skin), low blood pressure, salt cravings and nausea and it is getting worse.",Addison's Disease
"I feel terrible with unexplained weight gain, constipation and muscle weakness.",Hypothyroidism
"Suffering from gradual numbness in feet and burning pain in hands, need medical guidance.",Peripheral Neuropathy
Experiencing electric shock sensation in cheek,Trigeminal Neuralgia
"Patient presenting with heat intolerance, trembling hands, bulging eyes",Hyperthyroidism
"Woke up today with extreme fatigue, pale skin, weakness and cold hands and feet.",Iron Deficiency Anemia
"Feeling petechiae (superficial pinpoint purple spots on skin), prolonged bleeding from small cuts, nosebleeds",Thrombocytopenia
"Doctor, I've had red sores around nose and mouth, mild itching, painless sores",Impetigo
Experiencing acute throbbing headache and nausea.,Migraine
"I cannot sleep because of red swollen tonsils, white or yellow coating on tonsils, painful swallowing and fever.",Tonsillitis
I have cough,Measles
I have tenderness to touch,Tendinitis
"Experiencing acute poor appetite, dark urine and nausea.",Hepatitis B
"It started yesterday with waking up too early, irritability and difficulty concentrating.",Insomnia Disorder
"Feeling muscle cramps and spasms, numbness in fingers, extreme fatigue",Electrolyte Imbalance
Experiencing difficulty starting urination,Benign Prostatic Hyperplasia
"Patient reports bloating, gas, weight loss and skin rash with increasing discomfort.",Celiac Disease
"I have tingling in face or hands and nausea, what could this be?",Migraine with Aura
"Lately I have been feeling severe upper abdominal pain radiating to back, nausea, rapid pulse and fever.",Pancreatitis
I cannot sleep because of bloating and alternating diarrhea and constipation.,Irritable Bowel Syndrome
Feeling drooping mouth,Bell's Palsy
Feeling shortness of breath,Coronary Artery Disease
"Patient reports symmetrical joint pain in both hands, fatigue and fever with increasing discomfort.",Rheumatoid Arthritis
Patient reports temporary numbness on one side and arm weakness with increasing discomfort.,Transient Ischemic Attack (TIA)
"Woke up today with round moon face, weight gain around abdomen and high blood pressure.",Cushing's Syndrome
Feeling dehydration,Gastroenteritis
"I've been dealing with fatigue, poor appetite and joint pain and it is getting worse.",Hepatitis B
"Suffering from bruising easily, joint and muscle aches, fatigue",Scurvy
I'm experiencing dizziness upon standing and sunken eyes.,Dehydration
"Clinical notes: Patient presenting with nausea, vomiting, fever and tenderness to touch.",Pancreatitis
"Clinical notes: Patient presenting with hard dry stools, straining during bowel movements and abdominal fullness.",Constipation
"Lately I have been feeling vomiting, rapid dehydration, muscle cramps and sunken eyes.",Cholera
Feeling fatigue,Hepatitis B
"Been having mild cough, nasal congestion, mild headache",Common Cold
"Doctor, I've had widespread musculoskeletal pain, sleep disturbances, cognitive brain fog",Fibromyalgia
"Experiencing unexplained weight gain, cold intolerance, constipation",Hypothyroidism
"I have fatigue, poor appetite and nausea, what could this be?",Hepatitis B
"Experiencing acute extreme thirst, dark yellow urine, dry mouth and infrequent urination.",Dehydration
"Doctor, I've had red swollen tender skin area, fever, blisters over red area",Cellulitis
"I cannot sleep because of persistent excessive worry, restlessness, muscle tension and sleep disturbance.",Generalized Anxiety Disorder
I've been dealing with watery diarrhea and mild fever and it is getting worse.,Gastroenteritis
"Woke up today with persistent fatigue, foamy urine, nausea and loss of appetite.",Chronic Kidney Disease
"I've been dealing with chills, fatigue and headache and it is getting worse.",Influenza
"Experiencing acute dizziness, shortness of breath, nosebleeds and blurred vision.",Hypertension
"I have cyclical high fever and fatigue, what could this be?",Malaria
I have numbness and tingling in thumb index and middle fingers,Carpal Tunnel Syndrome
"Clinical notes: Patient presenting with dull aching head pain, tightness across forehead, scalp tenderness and shoulder tension.",Tension Headache
"I'm experiencing sharp ear pain, muffled hearing, fever and feeling of fullness in ear.",Otitis Media
"Experiencing acute nausea, light sensitivity, sound sensitivity and dizziness.",Migraine
"Noticed severe throbbing headache, sound sensitivity, dizziness",Migraine
"It started yesterday with excruciating pain around one eye, eye redness and restlessness.",Cluster Headache
"Clinical notes: Patient presenting with fever, tiredness and headache.",Chickenpox
"Experiencing numbness in leg or foot, tingling in toes, pain worse when sitting",Sciatica
"Noticed severe skin warm to touch, fever, blisters over red area",Cellulitis
"Feeling morning headache, dizziness, shortness of breath",Hypertension
"Experiencing acute burning localized pain, fluid-filled blisters on one side of body, skin sensitivity and fever.",Shingles
"It started yesterday with weight loss, fatigue and rectal bleeding.",Crohn's Disease
Woke up today with cloudy or blurry vision and glare and halos around headlights.,Cataract
"Noticed severe high fever, flank pain on one side, painful frequent urination",Pyelonephritis
"Woke up today with foamy urine, loss of appetite and metallic taste in mouth.",Chronic Kidney Disease
"Over the last 48 hours, I noticed back pain caused by collapsed vertebra and bone fractures easily.",Osteoporosis
"It started yesterday with coldness in lower leg or foot, weak pulse in legs and slow-healing sores on toes.",Peripheral Artery Disease
"Doctor, I've had tingling around bite site, fever and headache for the past few days.",Rabies Exposure
"Suffering from dull ache when moving affected tendon, tenderness to touch, mild swelling",Tendinitis
Clinical notes: Patient presenting with red swollen tender skin area and blisters over red area.,Cellulitis
I cannot sleep because of dizziness upon standing and infrequent urination.,Dehydration
Experiencing shakiness,Hypoglycemia
"Suffering from profuse watery diarrhea, muscle cramps and low blood pressure, need medical guidance.",Cholera
Feeling frequent eyeglasses changes,Cataract
Feeling dizziness,Hypoglycemia
"Lately I have been feeling numbness in limbs, electric shock sensations and fatigue.",Multiple Sclerosis
"Experiencing acute mucus production, mild fever and wheezing.",Bronchitis
I have mild chronic anemia,Thalassemia Minor
I'm experiencing tenderness to touch and mild swelling.,Tendinitis
"Feeling fever, sore throat, body aches",COVID-19
"Been having easy or excessive bruising, petechiae (superficial pinpoint purple spots on skin), bleeding gums",Thrombocytopenia
"Suffering from eye redness, nasal congestion on one side, restlessness",Cluster Headache
I'm experiencing chest pain and shortness of breath.,Pneumonia
"Experiencing vomiting, fever, tenderness to touch",Pancreatitis
"Patient presenting with clear runny nose, itchy roof of mouth, nasal congestion",Allergic Rhinitis
"Patient presenting with light sensitivity, sound sensitivity, visual aura",Migraine
"I've been dealing with burning stomach, nausea, loss of appetite and belching and it is getting worse.",Gastritis
"Over the last 48 hours, I noticed bleeding gums and nosebleeds.",Thrombocytopenia
"Patient reports sudden high fever, skin rash and mild bleeding with increasing discomfort.",Dengue Fever
"Suffering from runny nose, sneezing, mild cough",Common Cold
"Suffering from yellowing of skin and eyes, joint pain, nausea",Hepatitis B
Feeling cyclical high fever,Malaria
"Doctor, I've had red rash localized to area of contact and bumps and blisters for the past few days.",Contact Dermatitis
"Woke up today with numbness in limbs, fatigue and unsteady gait.",Multiple Sclerosis
"I've been dealing with chronic fatigue, joint aches, mild upper right abdominal discomfort and jaundice and it is getting worse.",Hepatitis C
My main issues right now are shakiness and sweating.,Hypoglycemia
"Doctor, I've had chronic fatigue, joint aches and loss of appetite for the past few days.",Hepatitis C
"Suffering from throbbing headache, nausea, light sensitivity",Migraine
I have weight loss,Celiac Disease
"I feel terrible with visible broken blood vessels, swollen red bumps resembling acne and eye irritation.",Rosacea
Clinical notes: Patient presenting with drooping mouth and drooling.,Bell's Palsy
"I feel terrible with fatigue, dark urine and joint pain.",Hepatitis B
Experiencing sudden high fever,Dengue Fever
"Patient presenting with constant severe lower left abdominal pain, fever, bloating",Diverticulitis
"Feeling constipation or diarrhea, rose-colored rash, extreme fatigue",Typhoid Fever
"Experiencing pale skin, cold hands and feet, brittle nails",Iron Deficiency Anemia
"Suffering from sudden intense terror, trembling, fear of losing control",Panic Disorder
Clinical notes: Patient presenting with sharp lower right abdominal pain and nausea.,Appendicitis
"Lately I have been feeling abdominal cramping, alternating diarrhea and constipation and mucus in stool.",Irritable Bowel Syndrome
"Suffering from sweating and dizziness, need medical guidance.",Hypoglycemia
"I have temporary numbness on one side, transient vision loss, temporary dizziness",Transient Ischemic Attack (TIA)
"Experiencing sneezing, sore throat, mild cough",Common Cold
"Over the last 48 hours, I noticed tingling around bite site and headache.",Rabies Exposure
"Suffering from tightness across forehead and neck stiffness, need medical guidance.",Tension Headache
"Experiencing coughing blood, chest pain, fever",Tuberculosis
My main issues right now are restlessness and irritability.,Generalized Anxiety Disorder
Clinical notes: Patient presenting with shortness of breath and dizziness.,Heart Attack
"Noticed severe fluttering in chest, slow heartbeat, lightheadedness",Arrhythmia
It started yesterday with sudden intense terror and chest tightness.,Panic Disorder
"Been having bleeding gums, bruising easily, fatigue",Scurvy
